category	subject_prefix	predicate	object_prefix	count_star()
biolink:GenotypeToDiseaseAssociation	MGI	biolink:model_of	DOID	8087
biolink:GenotypeToDiseaseAssociation	RGD	biolink:model_of	DOID	787
biolink:GenotypeToDiseaseAssociation	WB	biolink:model_of	DOID	498
biolink:GenotypeToDiseaseAssociation	ZFIN	biolink:model_of	DOID	1227
